dragon,name,type,reused,launch,customers,norad_ids,nationalities,manufacturers,mass_kg,mass_lbs,orbit,reference_system,regime,longitude,semi_major_axis_km,eccentricity,periapsis_km,apoapsis_km,inclination_deg,period_min,lifespan_years,epoch,mean_motion,raan,arg_of_pericenter,mean_anomaly,id
"{'capsule': None, 'mass_returned_kg': None, 'mass_returned_lbs': None, 'flight_time_sec': None, 'manifest': None, 'water_landing': None, 'land_landing': None}",Starlink-9,Satellite,False,5ed9819a1f30554030d45c29,['SpaceX'],"[45657, 45658, 45659, 45660, 45661, 45662, 45663, 45664, 45665, 45666, 45667, 45668, 45669, 45670, 45671, 45672, 45673, 45674, 45675, 45676, 45677, 45678, 45679, 45680, 45681, 45682, 45683, 45684, 45685, 45686, 45687, 45688, 45689, 45690, 45691, 45692, 45693, 45694, 45695, 45696, 45697, 45698, 45699, 45700, 45701, 45702, 45703, 45704, 45705, 45706, 45707, 45708, 45709, 45710, 45711, 45712, 45713, 45714, 45715, 45716, 45730, 45731, 45732, 45733, 45734, 45735, 45736, 45737, 45738, 45739, 45740, 45741, 45742, 45743, 45744, 45745, 45746, 45747, 45748, 45749, 45750, 45751]",['United States'],['SpaceX'],15600.0,34392.0,VLEO,geocentric,very-low-earth,,6526.082,0.0028054,129.639,166.255,53.0001,87.445,,2020-07-14T14:23:37.000Z,16.46735707,319.7129,181.2741,293.9291,5ed9858b1f30554030d45c3e
"{'capsule': None, 'mass_returned_kg': None, 'mass_returned_lbs': None, 'flight_time_sec': None, 'manifest': None, 'water_landing': None, 'land_landing': None}",Starlink-10,Satellite,False,5ed981d91f30554030d45c2a,['SpaceX'],"[45730, 45731, 45732, 45733, 45734, 45735, 45736, 45737, 45738, 45739, 45740, 45741, 45742, 45743, 45744, 45745, 45746, 45747, 45748, 45749, 45750, 45751]",['United States'],['SpaceX'],15600.0,34392.0,VLEO,geocentric,very-low-earth,,6925.372,0.0001931,545.9,548.574,53.0533,95.593,,2022-11-30T01:30:19.000Z,15.06392326,203.997,52.2538,307.8625,5ed9859f1f30554030d45c3f
"{'capsule': None, 'mass_returned_kg': None, 'mass_returned_lbs': None, 'flight_time_sec': None, 'manifest': None, 'water_landing': None, 'land_landing': None}",Sentinel-6 Michael Freilich,Satellite,False,5ed983aa1f30554030d45c31,['NASA'],[46984],['United States'],[],1440.0,3174.657,PO,geocentric,low-earth,,7715.871,0.0007926,1331.621,1343.852,66.0444,112.418,,2022-11-30T06:34:51.000Z,12.80929725,304.6086,264.9511,95.0598,5ed9867c1f30554030d45c40
"{'capsule': None, 'mass_returned_kg': None, 'mass_returned_lbs': None, 'flight_time_sec': None, 'manifest': None, 'water_landing': None, 'land_landing': None}",BlackSky Global 5-6,Satellite,False,5ed9819a1f30554030d45c29,['BlackSky Global'],[],['United States'],['BlackSky Global'],112.0,246.92,SSO,geocentric,sun-synchronous,,,,,,,,3.0,,,,,,5ee522e32f1f3d474c758123
"{'capsule': None, 'mass_returned_kg': None, 'mass_returned_lbs': None, 'flight_time_sec': None, 'manifest': None, 'water_landing': None, 'land_landing': None}",Starlink-11,Satellite,False,5ef6a1e90059c33cee4a828a,['SpaceX'],"[46325, 46326, 46327, 46328, 46329, 46330, 46331, 46332, 46333, 46334, 46335, 46336, 46337, 46338, 46339, 46340, 46341, 46342, 46343, 46344, 46345, 46346, 46347, 46348, 46349, 46350, 46351, 46352, 46353, 46354, 46355, 46356, 46357, 46358, 46359, 46360, 46361, 46362, 46363, 46364, 46365, 46366, 46367, 46368, 46369, 46370, 46371, 46372, 46373, 46374, 46375, 46376, 46377, 46378, 46379, 46380, 46381, 46382, 46383, 46384]",['United States'],['SpaceX'],15600.0,34392.0,VLEO,geocentric,very-low-earth,,6925.37,0.0001886,545.929,548.541,53.0539,95.593,,2022-11-30T09:55:13.000Z,15.06392923,297.4295,52.3116,307.8044,5ef6a4600059c33cee4a829e
"{'capsule': None, 'mass_returned_kg': None, 'mass_returned_lbs': None, 'flight_time_sec': None, 'manifest': None, 'water_landing': None, 'land_landing': None}",Starlink-12,Satellite,False,5ef6a2090059c33cee4a828b,['SpaceX'],"[46532, 46533, 46534, 46535, 46536, 46537, 46538, 46539, 46540, 46541, 46542, 46543, 46544, 46545, 46546, 46547, 46548, 46549, 46550, 46551, 46552, 46553, 46554, 46555, 46556, 46557, 46558, 46559, 46560, 46561, 46562, 46563, 46564, 46565, 46566, 46567, 46568, 46569, 46570, 46571, 46572, 46573, 46574, 46575, 46576, 46577, 46578, 46579, 46580, 46581, 46582, 46583, 46584, 46585, 46586, 46587, 46588, 46589, 46590, 46591]",['United States'],['SpaceX'],15600.0,34392.0,VLEO,geocentric,very-low-earth,,6925.371,0.0001739,546.032,548.441,53.0554,95.593,,2022-11-30T12:15:13.000Z,15.06392587,141.9932,62.9195,297.1971,5ef6a48e0059c33cee4a829f
"{'capsule': None, 'mass_returned_kg': None, 'mass_returned_lbs': None, 'flight_time_sec': None, 'manifest': None, 'water_landing': None, 'land_landing': None}",Starlink-13,Satellite,False,5ef6a2bf0059c33cee4a828c,['SpaceX'],"[46670, 46671, 46672, 46673, 46674, 46675, 46676, 46677, 46678, 46679, 46680, 46681, 46682, 46683, 46684, 46685, 46686, 46687, 46688, 46689, 46690, 46691, 46692, 46693, 46694, 46695, 46696, 46697, 46698, 46699, 46700, 46701, 46702, 46703, 46704, 46705, 46706, 46707, 46708, 46709, 46710, 46711, 46712, 46713, 46714, 46715, 46716, 46717, 46718, 46719, 46720, 46721, 46722, 46723, 46724, 46725, 46726, 46727, 46728, 46729]",['United States'],['SpaceX'],15600.0,34392.0,VLEO,geocentric,very-low-earth,,6575.454,0.0011864,189.518,205.12,53.0515,88.439,,2020-10-24T20:24:51.000Z,16.28223676,77.8706,337.4012,22.6738,5ef6a4d50059c33cee4a82a1
"{'capsule': None, 'mass_returned_kg': None, 'mass_returned_lbs': None, 'flight_time_sec': None, 'manifest': None, 'water_landing': None, 'land_landing': None}",Starlink-14,Satellite,False,5ef6a2e70059c33cee4a8293,['SpaceX'],"[46739, 46740, 46741, 46742, 46743, 46744, 46745, 46746, 46747, 46748, 46749, 46750, 46751, 46752, 46753, 46754, 46755, 46756, 46757, 46758, 46759, 46760, 46761, 46762, 46763, 46764, 46765, 46766, 46767, 46768, 46769, 46770, 46771, 46772, 46773, 46774, 46775, 46776, 46777, 46778, 46779, 46780, 46781, 46782, 46783, 46784, 46785, 46786, 46787, 46788, 46789, 46790, 46791, 46792, 46793, 46794, 46795, 46796, 46797, 46798]",['United States'],['SpaceX'],15600.0,34392.0,VLEO,geocentric,very-low-earth,,6529.676,0.0007949,146.351,156.732,53.0227,87.518,,2021-07-14T06:47:40.000Z,16.45376551,331.8822,310.4108,50.2494,5ef6a4ea0059c33cee4a82a2
"{'capsule': None, 'mass_returned_kg': None, 'mass_returned_lbs': None, 'flight_time_sec': None, 'manifest': None, 'water_landing': None, 'land_landing': None}",NROL-108,Satellite,False,5f8399fb818d8b59f5740d43,['National Reconnaissance Office'],[],['United States'],[],,,,geocentric,low-earth,,,,,,,,,,,,,,5f839ac7818d8b59f5740d48
"{'capsule': None, 'mass_returned_kg': None, 'mass_returned_lbs': None, 'flight_time_sec': None, 'manifest': None, 'water_landing': None, 'land_landing': None}",Starlink-15,Satellite,False,5fb95b3f3a88ae63c954603c,['SpaceX'],[],['United States'],['SpaceX'],15600.0,34392.0,VLEO,geocentric,very-low-earth,,,,,,,,,,,,,,5fb95c263a88ae63c9546044
"{'capsule': None, 'mass_returned_kg': None, 'mass_returned_lbs': None, 'flight_time_sec': None, 'manifest': None, 'water_landing': None, 'land_landing': None}",Starlink-16,Satellite,False,5fbfecce54ceb10a5664c80a,['SpaceX'],[],['United States'],['SpaceX'],15600.0,34392.0,VLEO,geocentric,very-low-earth,,,,,,,,,,,,,,5fbfedba54ceb10a5664c813
"{'capsule': None, 'mass_returned_kg': None, 'mass_returned_lbs': None, 'flight_time_sec': None, 'manifest': None, 'water_landing': None, 'land_landing': None}",Starlink-17,Satellite,False,5fbfecfe54ceb10a5664c80b,['SpaceX'],[],['United States'],['SpaceX'],15600.0,34392.0,VLEO,geocentric,very-low-earth,,,,,,,,,,,,,,5fbfedc654ceb10a5664c814
"{'capsule': None, 'mass_returned_kg': None, 'mass_returned_lbs': None, 'flight_time_sec': None, 'manifest': None, 'water_landing': None, 'land_landing': None}",Transporter-1,Satellite,False,5fd386aa7faea57d297c86c1,[],[],['United States'],[],,,SSO,geocentric,sun-synchronous,,,,,,,,,,,,,,5fd3871a7faea57d297c86c6
"{'capsule': None, 'mass_returned_kg': None, 'mass_returned_lbs': None, 'flight_time_sec': None, 'manifest': None, 'water_landing': None, 'land_landing': None}",SARah 1,Satellite,False,5fe3af43b3467846b324215e,"['OHB-System', 'AG', 'Bundeswehr']",[],['Germany'],['Airbus Defence and Space'],2200.0,4850.17,SSO,geocentric,sun-synchronous,,,,,,,,,,,,,,5fe3b2abb3467846b3242172
"{'capsule': '5e9e2c5df359188aba3b2676', 'mass_returned_kg': 9616, 'mass_returned_lbs': 21200, 'flight_time_sec': 17250000, 'manifest': None, 'water_landing': True, 'land_landing': None}",Crew-2,Crew Dragon,True,5fe3af58b3467846b324215f,['NASA (CCtCap)'],[48209],['United States'],['SpaceX'],,,ISS,geocentric,low-earth,,6799.776,0.0006584,417.164,426.118,51.578,93.004,,2021-11-09T02:44:20.000Z,15.48320399,346.026,167.2394,62.3584,5fe3b3adb3467846b3242173
"{'capsule': '617c05591bad2c661a6e2909', 'mass_returned_kg': None, 'mass_returned_lbs': None, 'flight_time_sec': None, 'manifest': None, 'water_landing': None, 'land_landing': None}",Crew-3,Crew Dragon,False,5fe3b15eb3467846b324216d,['NASA (CCtCap)'],[49407],['United States'],['SpaceX'],12519.0,27600.0,ISS,geocentric,low-earth,,6688.205,0.0143837,213.869,406.271,51.6404,90.724,,2022-05-05T10:39:05.000Z,15.8722471,188.2433,58.1913,20.4352,5fe3b3bab3467846b3242174
"{'capsule': None, 'mass_returned_kg': None, 'mass_returned_lbs': None, 'flight_time_sec': None, 'manifest': None, 'water_landing': None, 'land_landing': None}",SXM-8,Satellite,False,5fe3af6db3467846b3242160,['SiriusXM'],[48838],['United States'],['SSL'],7000.0,15432.36,GTO,geocentric,geostationary,,42166.126,0.000322,35774.413,35801.568,0.042,1436.168,15.0,2022-11-30T06:45:18.000Z,1.00266813,113.5624,240.5512,91.1518,5fe3b57db3467846b324217a
"{'capsule': '60b803421f83cc1e59f1644d', 'mass_returned_kg': 2404, 'mass_returned_lbs': 5300, 'flight_time_sec': 3146340, 'manifest': None, 'water_landing': True, 'land_landing': None}",CRS-22,Dragon 2.0,True,5fe3af84b3467846b3242161,['NASA (CRS)'],[48831],['United States'],['SpaceX'],3328.0,7336.984,ISS,geocentric,low-earth,,6637.924,0.0086979,202.053,317.525,51.6394,89.703,,2021-07-10T03:41:28.000Z,16.05293233,228.5564,82.8341,29.9538,5fe3b642b3467846b324217b
"{'capsule': None, 'mass_returned_kg': None, 'mass_returned_lbs': None, 'flight_time_sec': None, 'manifest': None, 'water_landing': None, 'land_landing': None}",USSF-44,Satellite,False,6243aec2af52800c6e91925d,['USSF'],[],['United States'],['USSF'],3700.0,8157.104,GTO,geocentric,geostationary,,,,,,,,,,,,,,5fe3b86eb3467846b324217c
"{'capsule': None, 'mass_returned_kg': None, 'mass_returned_lbs': None, 'flight_time_sec': None, 'manifest': None, 'water_landing': None, 'land_landing': None}",Türksat 5B,Satellite,False,5fe3afc1b3467846b3242164,['Turksat'],[50212],['Turkey'],['Airbus Defence and Space'],3500.0,7716.2,GTO,geocentric,geostationary,31.0,42165.077,0.0003961,35770.241,35803.644,0.0692,1436.115,15.0,2022-11-30T10:59:34.000Z,1.00270553,337.9554,320.034,338.2319,5fe3c080b3467846b3242190
"{'capsule': None, 'mass_returned_kg': None, 'mass_returned_lbs': None, 'flight_time_sec': None, 'manifest': None, 'water_landing': None, 'land_landing': None}",DART (Double Asteroid Redirection Test),Satellite,False,5fe3b107b3467846b324216b,['NASA'],[49497],['United States'],['Applied Physics Laboratory'],670.0,1477.097,TLI,heliocentric,,31.0,6651.504,0.00562,235.987,310.75,64.77,89.979,,2021-11-24T06:29:02.000Z,16.00379554,235.9449,158.71,355.4,5fe3c4a6b3467846b3242192
"{'capsule': '5fbb0f8fec55b34eb9f35c14', 'mass_returned_kg': 2086, 'mass_returned_lbs': 4600, 'flight_time_sec': 2835720, 'manifest': None, 'water_landing': True, 'land_landing': False}",CRS-23,Dragon 2.0,True,5fe3b11eb3467846b324216c,['NASA (CRS)'],[],['United States'],['SpaceX'],,,ISS,geocentric,low-earth,,,,,,,,,,,,,,5fe3c4f2b3467846b3242193
"{'capsule': None, 'mass_returned_kg': None, 'mass_returned_lbs': None, 'flight_time_sec': None, 'manifest': None, 'water_landing': None, 'land_landing': None}",Starlink-18,Satellite,False,5ff6554f9257f579ee3a6c5f,['SpaceX'],[],['United States'],['SpaceX'],15600.0,34392.0,VLEO,geocentric,very-low-earth,,,,,,,,,,,,,,5ff655769257f579ee3a6c64
"{'capsule': None, 'mass_returned_kg': None, 'mass_returned_lbs': None, 'flight_time_sec': None, 'manifest': None, 'water_landing': None, 'land_landing': None}",Starlink-19,Satellite,False,600f9a5e8f798e2a4d5f979c,['SpaceX'],[],['United States'],['SpaceX'],15600.0,34392.0,VLEO,geocentric,very-low-earth,,,,,,,,,,,,,,600f9bc08f798e2a4d5f97a4
"{'capsule': None, 'mass_returned_kg': None, 'mass_returned_lbs': None, 'flight_time_sec': None, 'manifest': None, 'water_landing': None, 'land_landing': None}",Starlink-20,Satellite,False,600f9a718f798e2a4d5f979d,['SpaceX'],[],['United States'],['SpaceX'],15600.0,34392.0,VLEO,geocentric,very-low-earth,,,,,,,,,,,,,,600f9bcb8f798e2a4d5f97a5
"{'capsule': None, 'mass_returned_kg': None, 'mass_returned_lbs': None, 'flight_time_sec': None, 'manifest': None, 'water_landing': None, 'land_landing': None}",Starlink-21,Satellite,False,600f9a8d8f798e2a4d5f979e,['SpaceX'],[],['United States'],['SpaceX'],15600.0,34392.0,VLEO,geocentric,very-low-earth,,,,,,,,,,,,,,600f9bd88f798e2a4d5f97a6
"{'capsule': None, 'mass_returned_kg': None, 'mass_returned_lbs': None, 'flight_time_sec': None, 'manifest': None, 'water_landing': None, 'land_landing': None}",Starlink-22,Satellite,False,60428aafc041c16716f73cd7,['SpaceX'],[],['United States'],['SpaceX'],15600.0,34392.0,VLEO,geocentric,very-low-earth,,,,,,,,,,,,,,60428afbc041c16716f73cdd
